id,organization,rating_category,rating_content_descriptions
1569,1,3,
1578,1,3,
1582,1,5,[29]
1589,1,3,[31]
1591,1,5,"[2, 31]"
1595,1,3,
1601,1,5,[29]
1602,1,5,[29]
1606,1,3,
1607,1,3,
1614,1,3,
1624,1,3,
1633,1,3,
1635,1,3,
1636,1,3,
1637,1,3,
1638,1,5,"[33, 6, 24]"
1649,1,5,"[24, 6]"
1657,1,3,
1662,1,6,"[2, 31]"
1663,1,3,
1665,1,3,
1667,1,3,
1671,1,3,
1672,1,3,
1691,1,3,
1699,1,3,
1703,1,3,
1715,1,3,[43]
1717,1,3,[31]
1727,1,3,
1744,1,3,
1750,1,3,[31]
1752,1,3,
1754,1,5,"[40, 24, 32]"
1755,1,5,"[32, 31, 24]"
1757,1,5,"[32, 31, 24]"
1760,1,3,
1761,1,3,[37]
1762,1,4,"[6, 36, 9]"
1774,1,3,
1784,1,3,"[47, 1]"
1793,1,3,
1796,1,3,
1797,1,3,
1798,1,3,
1800,1,3,
1803,1,4,[37]
1804,1,3,[6]
1805,1,3,
1809,1,3,
1811,1,3,
1814,1,3,
1815,1,3,
1816,1,3,
1817,1,3,
1822,1,3,
1823,1,3,
1824,1,3,
1826,1,3,
1828,1,4,"[1, 2, 11, 9, 7]"
1829,1,5,"[31, 24]"
1830,1,6,"[18, 3, 15, 29]"
1831,1,3,
1834,1,3,
1840,1,3,
1842,1,4,"[7, 25, 9, 36, 2]"
1875,1,5,"[9, 3, 32]"
1876,1,5,"[36, 26, 11, 9]"
1879,1,6,"[42, 21, 31]"
1881,1,5,"[48, 29]"
1885,1,5,"[29, 6]"
1887,1,3,
1900,1,6,"[4, 29]"
1924,1,4,"[7, 37]"
1937,1,6,"[18, 29, 3, 21]"
1944,1,3,
1966,1,5,"[29, 32, 3, 24]"
1991,1,3,
1997,1,5,"[2, 29]"
2047,1,5,"[29, 4]"
2058,1,6,"[4, 10]"
2062,1,3,
2063,1,3,
2064,1,3,
2066,1,3,
2067,1,3,
2069,1,3,
2070,1,3,
2071,1,3,
2072,1,3,
2079,1,4,[33]
2098,1,5,"[29, 3]"
2099,1,3,
2102,1,3,
2103,1,3,"[29, 36]"
2114,1,6,"[29, 4]"
2129,1,5,"[32, 29, 3]"
2133,1,5,"[32, 24, 43]"
2135,1,5,"[2, 31]"
2137,1,3,[6]
2149,1,6,"[46, 31]"
2150,1,6,"[46, 31]"
2151,1,5,"[31, 2]"
2155,1,3,"[32, 43]"
2169,1,6,"[46, 31]"
2174,1,3,[6]
2179,1,5,[31]
2181,1,5,"[46, 31]"
2187,1,5,[31]
2190,1,3,
2192,1,5,"[24, 29]"
2203,1,6,"[29, 3]"
2204,1,5,"[2, 31]"
2212,1,5,"[24, 29, 15, 11]"
2213,1,6,"[4, 29]"
2217,1,3,[47]
2224,1,3,"[48, 33]"
2226,1,5,[29]
2240,1,3,[43]
2252,1,3,"[6, 33]"
2256,1,5,"[15, 29, 11]"
2268,1,6,"[21, 42, 4, 29]"
2276,1,5,"[29, 26, 11, 36]"
2278,1,5,"[29, 11]"
2282,1,5,"[5, 24]"
2283,1,5,[5]
2286,1,3,
2302,1,5,"[3, 29, 12, 18, 11]"
2307,1,5,"[32, 29]"
2327,1,3,[33]
2328,1,5,"[48, 29]"
2334,1,3,
2335,1,3,
2439,1,6,"[31, 46]"
2440,1,5,[31]
2458,1,4,"[6, 32, 37]"
2487,1,3,
2491,1,3,
2492,1,4,"[36, 33]"
2497,1,3,"[6, 5]"
2498,1,6,"[31, 46]"
2499,1,3,[31]
2526,1,4,[9]
2535,1,3,
2537,1,3,
2546,1,3,
2567,1,6,"[4, 29]"
2568,1,6,"[18, 15, 21, 10, 4]"
2598,1,3,
2605,1,5,"[26, 36, 11, 29]"
2621,1,3,
2623,1,3,
2624,1,3,
2625,1,3,
2626,1,3,
2627,1,3,
2628,1,3,
2631,1,3,
2650,1,3,
2659,1,3,
2688,1,3,
2691,1,3,
2696,1,3,
2705,1,3,[47]
2729,1,6,"[3, 29]"
2731,1,6,"[29, 3]"
2739,1,4,"[36, 32, 25, 7, 5]"
2748,1,5,"[3, 26, 29]"
2775,1,5,"[24, 33, 7]"
2778,1,4,[5]
2797,1,5,"[29, 32, 8, 36, 1]"
2829,1,3,
2830,1,3,
2831,1,3,
2833,1,3,
2835,1,3,
2840,1,3,
2841,1,3,
2842,1,3,
2843,1,3,
2853,1,5,"[33, 32, 3, 8]"
2854,1,5,"[3, 33, 32]"
2874,1,3,
2889,1,5,"[3, 36, 11, 29]"
2890,1,5,"[32, 26, 29, 3, 7, 36]"
2915,1,3,
2919,1,3,
2924,1,3,
2926,1,3,
2944,1,3,
2954,1,5,"[29, 32]"
2956,1,5,"[15, 26, 11, 3, 29, 24]"
2960,1,5,"[26, 24, 32, 29]"
2963,1,3,
2964,1,3,
2972,1,4,"[41, 6, 33]"
2973,1,5,"[38, 7, 29]"
2974,1,5,"[33, 38]"
2975,1,5,"[38, 33]"
2976,1,6,"[10, 4, 21]"
2978,1,5,"[33, 6, 42]"
2981,1,5,"[18, 7, 29]"
2982,1,5,"[7, 18, 29]"
2985,1,5,"[18, 7, 29]"
3028,1,5,"[32, 29, 3]"
3039,1,3,
3042,1,3,
3043,1,3,[6]
3062,1,5,"[33, 1]"
3066,1,5,"[2, 29]"
3086,1,6,"[18, 8, 21, 10, 4]"
3098,1,3,
3102,1,6,"[21, 3, 10]"
3125,1,6,"[21, 29]"
3151,1,4,[9]
3160,1,3,
3171,1,5,"[29, 24]"
3213,1,6,"[10, 21, 4]"
3214,1,3,
3227,1,6,"[29, 4]"
3231,1,6,"[23, 4, 27, 21, 10]"
3259,1,6,"[29, 3]"
3260,1,6,"[3, 29]"
3270,1,5,"[29, 24]"
3274,1,6,"[10, 4]"
3279,1,3,
3282,1,6,"[21, 10, 4]"
3298,1,4,"[33, 32]"
3302,1,6,"[11, 4, 10]"
3304,1,3,
3311,1,6,"[3, 11, 29]"
3317,1,3,
3318,1,3,
3322,1,3,
3323,1,3,
3324,1,3,
3326,1,3,
3338,1,5,"[15, 24, 9]"
3341,1,6,"[4, 10, 14, 18, 21]"
3342,1,6,"[4, 29]"
3347,1,3,
3354,1,6,"[10, 18, 4, 21]"
3359,1,6,"[21, 4, 10]"
3362,1,3,
3367,1,3,
3371,1,4,[9]
3373,1,4,"[32, 9]"
3387,1,5,"[24, 29]"
3393,1,6,"[24, 21, 8, 10, 4]"
3399,1,5,"[9, 3]"
3408,1,3,"[6, 33]"
3428,1,3,
3431,1,6,"[18, 10, 4, 21]"
3437,1,6,"[4, 21, 10, 8]"
3438,1,6,"[10, 18, 27, 21, 4]"
3450,1,5,"[36, 29]"
3460,1,6,"[4, 29]"
3465,1,6,"[4, 29]"
3467,1,5,"[33, 32]"
3469,1,4,[29]
3476,1,3,
3485,1,6,"[29, 4]"
3486,1,6,"[10, 21, 4]"
3489,1,3,
3490,1,3,
3535,1,3,
3537,1,5,[33]
3585,1,3,
3626,1,4,[5]
3649,1,3,
3667,1,3,[47]
3668,1,3,[9]
3676,1,4,
3677,1,3,
3690,1,3,
3691,1,3,
3701,1,3,
3703,1,3,
3707,1,5,[31]
3724,1,3,
3737,1,5,"[47, 15, 27, 18]"
3755,1,4,"[6, 29]"
3762,1,3,
3763,1,3,
3765,1,3,
3779,1,5,"[37, 26, 32, 24]"
3782,1,3,
3785,1,5,"[24, 47, 1, 11]"
