id,name,rating,description
1001,ESRB,M,"Intense Violence, Blood"
1009,ESRB,T,"Violence, Sexual Themes, Use of Alcohol and Tobacco, Blood and Gore, Crude Humor, Mild Language"
1010,ESRB,T,"Language, Mild Blood, Fantasy Violence, Drug and Alcohol Reference"
1045,ESRB,M,"Sexual Themes, Intense Violence, Blood and Gore, Use of Alcohol"
1049,ESRB,T,"Suggestive Themes, Violence, Use of Alcohol, Blood"
1051,ESRB,T,"Suggestive Themes, Blood and Gore, Crude Humor, Mild Language, Use of Alcohol, Violence"
1061,ESRB,M,"Violence, Blood and Gore"
1062,ESRB,M,"Strong Language, Intense Violence, Blood and Gore"
1067,ESRB,M,"Animated Blood, Strong Language"
1070,ESRB,M,"Intense Violence, Strong Language, Sexual Themes, Partial Nudity, Drug Reference, Blood and Gore"
1086,ESRB,M,"Intense Violence, Strong Language, Blood"
1087,ESRB,M,"Intense Violence, Strong Language, Blood"
1088,ESRB,M,"Intense Violence, Blood, Strong Language"
1089,ESRB,M,"Blood, Strong Language, Intense Violence"
1090,ESRB,M,"Strong Language, Intense Violence, Blood"
1099,ESRB,M,"Intense Violence, Blood and Gore, Language"
1100,ESRB,M,"Intense Violence, Language, Blood and Gore"
1102,ESRB,E,no_description
1103,ESRB,E,no_description
1107,ESRB,M,"Blood and Gore, Intense Violence"
1112,ESRB,T,Violence
1119,ESRB,T,"Violence, Mild Suggestive Themes, Use of Tobacco, Language, Blood"
1121,ESRB,T,"Comic Mischief, Suggestive Themes, Violence"
1133,ESRB,E,Mild Fantasy Violence
1137,ESRB,E,Animated Violence
1151,ESRB,M,"Partial Nudity, Sexual Themes, Blood, Violence, Language"
1159,ESRB,M,"Partial Nudity, Violence, Language, Blood and Gore"
1162,ESRB,M,"Violence, Blood and Gore"
1168,ESRB,E,Mild Animated Violence
1186,ESRB,M,"Use of Drugs and Alcohol, Mature Humor, Intense Violence, Blood and Gore, Strong Language, Sexual Themes"
1198,ESRB,T,"Mild Language, Sexual Themes, Alcohol Reference, Violence, Blood"
1212,ESRB,M,"Strong Language, Blood and Gore, Intense Violence"
1215,ESRB,M,"Intense Violence, Blood and Gore, Strong Language"
1221,ESRB,T,Violence
1222,ESRB,T,Fantasy Violence
1223,ESRB,T,Fantasy Violence
1225,ESRB,M,"Violence, Blood, Strong Language"
1231,ESRB,T,"Crude Humor, Violence, Sexual Themes"
1242,ESRB,T,"Animated Violence, Mild Language, Cartoon Violence"
1251,ESRB,M,"Intense Violence, Blood and Gore, Sexual Themes"
1284,ESRB,T,"Blood, Sexual Themes, Alcohol Reference, Mild Language, Violence, Fantasy Violence"
1316,ESRB,M,"Blood and Gore, Strong Language, Intense Violence"
1321,ESRB,E,Mild Fantasy Violence
1325,ESRB,E10+,Fantasy Violence
1330,ESRB,E,Mild Violence
1336,ESRB,T,Violence
1340,ESRB,E,no_description
1350,ESRB,T,"Fantasy Violence, Blood"
1357,ESRB,M,"Violence, Blood and Gore"
1368,ESRB,T,"Violence, Use of Alcohol, Blood and Gore, Crude Humor"
1369,ESRB,T,"Comic Mischief, Violence"
1374,ESRB,E10+,"Mild Language, Crude Humor, Animated Blood, Cartoon Violence"
1379,ESRB,E,no_description
1380,ESRB,E,no_description
1381,ESRB,E,no_description
1382,ESRB,E,no_description
1384,ESRB,E10+,Violence
1414,ESRB,E,no_description
1424,ESRB,M,"Strong Language, Use of Drugs, Strong Sexual Content, Blood and Gore, Intense Violence"
1425,ESRB,M,"Strong Language, Use of Drugs, Strong Sexual Content, Intense Violence, Blood and Gore"
1469,ESRB,T,"Blood, Violence"
1482,ESRB,M,"Realistic Violence, Realistic Blood and Gore"
1484,ESRB,T,"Violence, Suggestive Themes"
1485,ESRB,T,Animated Violence
1486,ESRB,E,Mild Lyrics
1489,ESRB,E10+,Mild Lyrics
1490,ESRB,E,Mild Lyrics
1502,ESRB,E,no_description
1504,ESRB,E,no_description
1505,ESRB,E,no_description
1510,ESRB,E,no_description
1518,ESRB,E,no_description
1519,ESRB,T,"Violence, Suggestive Themes"
1521,ESRB,M,"Strong Language, Use of Drugs, Mature Sexual Themes, Mature Humor, Intense Violence, Blood and Gore"
1522,ESRB,T,"Use of Alcohol and Tobacco, Mild Animated Violence, Strong Language"
1523,ESRB,M,"Realistic Blood and Gore, Realistic Violence"
1524,ESRB,T,Animated Blood and Gore
1539,ESRB,E,no_description
1540,ESRB,E,no_description
1544,ESRB,E,no_description
1564,ESRB,E,no_description
1566,ESRB,E,no_description
1567,ESRB,E,no_description
1569,ESRB,E,no_description
1578,ESRB,E,no_description
1582,ESRB,T,Violence
1589,ESRB,E,Animated Violence
1591,ESRB,T,"Animated Blood, Animated Violence"
1595,ESRB,E,no_description
1601,ESRB,T,Violence
1602,ESRB,T,Violence
1606,ESRB,E,no_description
1607,ESRB,E,no_description
1614,ESRB,E,no_description
1624,ESRB,E,no_description
1633,ESRB,E,no_description
1635,ESRB,E,no_description
1636,ESRB,E,no_description
1637,ESRB,E,no_description
1638,ESRB,T,"Mild Violence, Comic Mischief, Suggestive Themes"
1649,ESRB,T,"Suggestive Themes, Comic Mischief"
1657,ESRB,E,no_description
1662,ESRB,M,"Animated Blood, Animated Violence"
1663,ESRB,E,no_description
1665,ESRB,E,no_description
1667,ESRB,E,no_description
1671,ESRB,E,no_description
1672,ESRB,E,no_description
1691,ESRB,E,no_description
1699,ESRB,E,no_description
1703,ESRB,E,no_description
1715,ESRB,E,Mild Animated Violence
1717,ESRB,E,Animated Violence
1727,ESRB,E,no_description
1744,ESRB,E,no_description
1750,ESRB,E,Animated Violence
1752,ESRB,E,no_description
1754,ESRB,T,"Realistic Violence, Suggestive Themes, Mild Language"
1755,ESRB,T,"Mild Language, Animated Violence, Suggestive Themes"
1757,ESRB,T,"Mild Language, Animated Violence, Suggestive Themes"
1760,ESRB,E,no_description
1761,ESRB,E,Mild Cartoon Violence
1762,ESRB,E10+,"Comic Mischief, Mild Suggestive Themes, Fantasy Violence"
1774,ESRB,E,no_description
1784,ESRB,E,"Mild Fantasy Violence, Alcohol Reference"
1793,ESRB,E,no_description
1796,ESRB,E,no_description
1797,ESRB,E,no_description
1798,ESRB,E,no_description
1800,ESRB,E,no_description
1803,ESRB,E10+,Mild Cartoon Violence
1804,ESRB,E,Comic Mischief
1805,ESRB,E,no_description
1809,ESRB,E,no_description
1811,ESRB,E,no_description
1814,ESRB,E,no_description
1815,ESRB,E,no_description
1816,ESRB,E,no_description
1817,ESRB,E,no_description
1822,ESRB,E,no_description
1823,ESRB,E,no_description
1824,ESRB,E,no_description
1826,ESRB,E,no_description
1828,ESRB,E10+,"Alcohol Reference, Animated Blood, Language, Fantasy Violence, Crude Humor"
1829,ESRB,T,"Animated Violence, Suggestive Themes"
1830,ESRB,M,"Sexual Themes, Blood, Partial Nudity, Violence"
1831,ESRB,E,no_description
1834,ESRB,E,no_description
1840,ESRB,E,no_description
1842,ESRB,E10+,"Crude Humor, Tobacco Reference, Fantasy Violence, Mild Suggestive Themes, Animated Blood"
1875,ESRB,T,"Fantasy Violence, Blood, Mild Language"
1876,ESRB,T,"Mild Suggestive Themes, Use of Alcohol, Language, Fantasy Violence"
1879,ESRB,M,"Mature Sexual Themes, Strong Language, Animated Violence"
1881,ESRB,T,"Mild Lyrics, Violence"
1885,ESRB,T,"Violence, Comic Mischief"
1887,ESRB,E,no_description
1900,ESRB,M,"Blood and Gore, Violence"
1924,ESRB,E10+,"Crude Humor, Mild Cartoon Violence"
1937,ESRB,M,"Sexual Themes, Violence, Blood, Strong Language"
1944,ESRB,E,no_description
1966,ESRB,T,"Violence, Mild Language, Blood, Suggestive Themes"
1991,ESRB,E,no_description
1997,ESRB,T,"Animated Blood, Violence"
2047,ESRB,T,"Violence, Blood and Gore"
2058,ESRB,M,"Blood and Gore, Intense Violence"
2062,ESRB,E,no_description
2063,ESRB,E,no_description
2064,ESRB,E,no_description
2066,ESRB,E,no_description
2067,ESRB,E,no_description
2069,ESRB,E,no_description
2070,ESRB,E,no_description
2071,ESRB,E,no_description
2072,ESRB,E,no_description
2079,ESRB,E10+,Mild Violence
2098,ESRB,T,"Violence, Blood"
2099,ESRB,E,no_description
2102,ESRB,E,no_description
2103,ESRB,E,"Violence, Mild Suggestive Themes"
2114,ESRB,M,"Violence, Blood and Gore"
2129,ESRB,T,"Mild Language, Violence, Blood"
2133,ESRB,T,"Mild Language, Suggestive Themes, Mild Animated Violence"
2135,ESRB,T,"Animated Blood, Animated Violence"
2137,ESRB,E,Comic Mischief
2149,ESRB,M,"Animated Blood and Gore, Animated Violence"
2150,ESRB,M,"Animated Blood and Gore, Animated Violence"
2151,ESRB,T,"Animated Violence, Animated Blood"
2155,ESRB,E,"Mild Language, Mild Animated Violence"
2169,ESRB,M,"Animated Blood and Gore, Animated Violence"
2174,ESRB,E,Comic Mischief
2179,ESRB,T,Animated Violence
2181,ESRB,T,"Animated Blood and Gore, Animated Violence"
2187,ESRB,T,Animated Violence
2190,ESRB,E,no_description
2192,ESRB,T,"Suggestive Themes, Violence"
2203,ESRB,M,"Violence, Blood"
2204,ESRB,T,"Animated Blood, Animated Violence"
2212,ESRB,T,"Suggestive Themes, Violence, Partial Nudity, Language"
2213,ESRB,M,"Blood and Gore, Violence"
2217,ESRB,E,Mild Fantasy Violence
2224,ESRB,E,"Mild Lyrics, Mild Violence"
2226,ESRB,T,Violence
2240,ESRB,E,Mild Animated Violence
2252,ESRB,E,"Comic Mischief, Mild Violence"
2256,ESRB,T,"Partial Nudity, Violence, Language"
2268,ESRB,M,"Strong Language, Mature Sexual Themes, Blood and Gore, Violence"
2276,ESRB,T,"Violence, Use of Alcohol, Language, Mild Suggestive Themes"
2278,ESRB,T,"Violence, Language"
2282,ESRB,T,"Cartoon Violence, Suggestive Themes"
2283,ESRB,T,Cartoon Violence
2286,ESRB,E,no_description
2302,ESRB,T,"Blood, Violence, Lyrics, Sexual Themes, Language"
2307,ESRB,T,"Mild Language, Violence"
2327,ESRB,E,Mild Violence
2328,ESRB,T,"Mild Lyrics, Violence"
2334,ESRB,E,no_description
2335,ESRB,E,no_description
2439,ESRB,M,"Animated Violence, Animated Blood and Gore"
2440,ESRB,T,Animated Violence
2458,ESRB,E10+,"Comic Mischief, Mild Language, Mild Cartoon Violence"
2487,ESRB,E,no_description
2491,ESRB,E,no_description
2492,ESRB,E10+,"Mild Suggestive Themes, Mild Violence"
2497,ESRB,E,"Comic Mischief, Cartoon Violence"
2498,ESRB,M,"Animated Violence, Animated Blood and Gore"
2499,ESRB,E,Animated Violence
2526,ESRB,E10+,Fantasy Violence
2535,ESRB,E,no_description
2537,ESRB,E,no_description
2546,ESRB,E,no_description
2567,ESRB,M,"Blood and Gore, Violence"
2568,ESRB,M,"Sexual Themes, Partial Nudity, Strong Language, Intense Violence, Blood and Gore"
2598,ESRB,E,no_description
2605,ESRB,T,"Use of Alcohol, Mild Suggestive Themes, Language, Violence"
2621,ESRB,E,no_description
2623,ESRB,E,no_description
2624,ESRB,E,no_description
2625,ESRB,E,no_description
2626,ESRB,E,no_description
2627,ESRB,E,no_description
2628,ESRB,E,no_description
2631,ESRB,E,no_description
2650,ESRB,E,no_description
2659,ESRB,E,no_description
2688,ESRB,E,no_description
2691,ESRB,E,no_description
2696,ESRB,E,no_description
2705,ESRB,E,Mild Fantasy Violence
2729,ESRB,M,"Blood, Violence"
2731,ESRB,M,"Violence, Blood"
2739,ESRB,E10+,"Mild Suggestive Themes, Mild Language, Tobacco Reference, Crude Humor, Cartoon Violence"
2748,ESRB,T,"Blood, Use of Alcohol, Violence"
2775,ESRB,T,"Suggestive Themes, Mild Violence, Crude Humor"
2778,ESRB,E10+,Cartoon Violence
2797,ESRB,T,"Violence, Mild Language, Drug Reference, Mild Suggestive Themes, Alcohol Reference"
2829,ESRB,E,no_description
2830,ESRB,E,no_description
2831,ESRB,E,no_description
2833,ESRB,E,no_description
2835,ESRB,E,no_description
2840,ESRB,E,no_description
2841,ESRB,E,no_description
2842,ESRB,E,no_description
2843,ESRB,E,no_description
2853,ESRB,T,"Mild Violence, Mild Language, Blood, Drug Reference"
2854,ESRB,T,"Blood, Mild Violence, Mild Language"
2874,ESRB,E,no_description
2889,ESRB,T,"Blood, Mild Suggestive Themes, Language, Violence"
2890,ESRB,T,"Mild Language, Use of Alcohol, Violence, Blood, Crude Humor, Mild Suggestive Themes"
2915,ESRB,E,no_description
2919,ESRB,E,no_description
2924,ESRB,E,no_description
2926,ESRB,E,no_description
2944,ESRB,E,no_description
2954,ESRB,T,"Violence, Mild Language"
2956,ESRB,T,"Partial Nudity, Use of Alcohol, Language, Blood, Violence, Suggestive Themes"
2960,ESRB,T,"Use of Alcohol, Suggestive Themes, Mild Language, Violence"
2963,ESRB,E,no_description
2964,ESRB,E,no_description
2972,ESRB,E10+,"Alcohol and Tobacco Reference, Comic Mischief, Mild Violence"
2973,ESRB,T,"Mild Blood, Crude Humor, Violence"
2974,ESRB,T,"Mild Violence, Mild Blood"
2975,ESRB,T,"Mild Blood, Mild Violence"
2976,ESRB,M,"Intense Violence, Blood and Gore, Strong Language"
2978,ESRB,T,"Mild Violence, Comic Mischief, Mature Sexual Themes"
2981,ESRB,T,"Sexual Themes, Crude Humor, Violence"
2982,ESRB,T,"Crude Humor, Sexual Themes, Violence"
2985,ESRB,T,"Sexual Themes, Crude Humor, Violence"
3028,ESRB,T,"Mild Language, Violence, Blood"
3039,ESRB,E,no_description
3042,ESRB,E,no_description
3043,ESRB,E,Comic Mischief
3062,ESRB,T,"Mild Violence, Alcohol Reference"
3066,ESRB,T,"Animated Blood, Violence"
3086,ESRB,M,"Sexual Themes, Drug Reference, Strong Language, Intense Violence, Blood and Gore"
3098,ESRB,E,no_description
3102,ESRB,M,"Strong Language, Blood, Intense Violence"
3125,ESRB,M,"Strong Language, Violence"
3151,ESRB,E10+,Fantasy Violence
3160,ESRB,E,no_description
3171,ESRB,T,"Violence, Suggestive Themes"
3213,ESRB,M,"Intense Violence, Strong Language, Blood and Gore"
3214,ESRB,E,no_description
3227,ESRB,M,"Violence, Blood and Gore"
3231,ESRB,M,"Strong Sexual Content, Blood and Gore, Use of Drugs, Strong Language, Intense Violence"
3259,ESRB,M,"Violence, Blood"
3260,ESRB,M,"Blood, Violence"
3270,ESRB,T,"Violence, Suggestive Themes"
3274,ESRB,M,"Intense Violence, Blood and Gore"
3279,ESRB,E,no_description
3282,ESRB,M,"Strong Language, Intense Violence, Blood and Gore"
3298,ESRB,E10+,"Mild Violence, Mild Language"
3302,ESRB,M,"Language, Blood and Gore, Intense Violence"
3304,ESRB,E,no_description
3311,ESRB,M,"Blood, Language, Violence"
3317,ESRB,E,no_description
3318,ESRB,E,no_description
3322,ESRB,E,no_description
3323,ESRB,E,no_description
3324,ESRB,E,no_description
3326,ESRB,E,no_description
3338,ESRB,T,"Partial Nudity, Suggestive Themes, Fantasy Violence"
3341,ESRB,M,"Blood and Gore, Intense Violence, Nudity, Sexual Themes, Strong Language"
3342,ESRB,M,"Blood and Gore, Violence"
3347,ESRB,E,no_description
3354,ESRB,M,"Intense Violence, Sexual Themes, Blood and Gore, Strong Language"
3359,ESRB,M,"Strong Language, Blood and Gore, Intense Violence"
3362,ESRB,E,no_description
3367,ESRB,E,no_description
3371,ESRB,E10+,Fantasy Violence
3373,ESRB,E10+,"Mild Language, Fantasy Violence"
3387,ESRB,T,"Suggestive Themes, Violence"
3393,ESRB,M,"Suggestive Themes, Strong Language, Drug Reference, Intense Violence, Blood and Gore"
3399,ESRB,T,"Fantasy Violence, Blood"
3408,ESRB,E,"Comic Mischief, Mild Violence"
3428,ESRB,E,no_description
3431,ESRB,M,"Sexual Themes, Intense Violence, Blood and Gore, Strong Language"
3437,ESRB,M,"Blood and Gore, Strong Language, Intense Violence, Drug Reference"
3438,ESRB,M,"Intense Violence, Sexual Themes, Use of Drugs, Strong Language, Blood and Gore"
